,token_str,pos,n
24813,out,RP,3
24814,on,IN,2
24815,the,DT,3
24816,terraces,NNS,8
24817,of,IN,2
24818,the,DT,3
24819,Lilas,NNP,5
24820,Brett,NNP,5
24821,ordered,VBD,7
24822,a,DT,1
24823,whiskey,NN,7
24824,and,CC,3
24825,soda,NN,4
24827,I,PRP,1
24828,took,VBD,4
24829,one,CD,3
24831,too,RB,3
24833,and,CC,3
24834,Bill,NNP,4
24835,took,VBD,4
24836,another,DT,7
24837,pernod,NN,6
24840,How,WRB,3
24841,are,VBP,3
24842,you,PRP,3
24844,Jake,VB,4
24848,Great,NNP,5
24851,I,PRP,1
24852,said,VBD,4
24855,I,PRP,1
24857,ve,NNS,2
24858,had,VBD,3
24859,a,DT,1
24860,good,JJ,4
24861,time.,NN,5
24863,Brett,NNP,5
24864,looked,VBD,6
24865,at,IN,2
24866,me,PRP,2
24869,I,PRP,1
24870,was,VBD,3
24871,a,DT,1
24872,fool,NN,4
24873,to,TO,2
24874,go,VB,2
24875,away,RB,4
24878,she,PRP,3
24879,said,VBD,4
24882,One,CD,3
24884,s,VBD,1
24885,an,DT,2
24886,ass,NN,3
24887,to,TO,2
24888,leave,VB,5
24889,Paris.,NNP,6
24892,Did,NNP,3
24893,you,PRP,3
24894,have,VBP,4
24895,a,DT,1
24896,good,JJ,4
24897,time,NN,4
24901,Oh,NNP,2
24903,all,DT,3
24904,right,NN,5
24906,Interesting,NNP,11
24908,Not,RB,3
24909,frightfully,RB,11
24910,amusing.,JJ,8
24913,See,NNP,3
24914,anybody,NN,7
24918,No,NNP,2
24920,hardly,RB,6
24921,anybody,NN,7
24923,I,PRP,1
24924,never,RB,5
24925,went,VBD,4
24926,out.,JJ,4
24929,Didn,NNP,4
24931,t,NN,1
24932,you,PRP,3
24933,swim,VBP,4
24937,No,NNP,2
24939,Didn,NNP,4
24941,t,NN,1
24942,do,VBP,2
24943,a,DT,1
24944,thing.,NN,6
24947,Sounds,NNP,6
24948,like,IN,4
24949,Vienna,NNP,6
24952,Bill,NNP,4
24953,said,VBD,4
24955,Brett,NNP,5
24956,wrinkled,VBD,8
24957,up,RP,2
24958,the,DT,3
24959,corners,NNS,7
24960,of,IN,2
24961,her,PRP$,3
24962,eyes,NNS,4
24963,at,IN,2
24964,him,PRP,3
24967,So,RB,2
24968,that,IN,4
24970,s,VBD,1
24971,the,DT,3
24972,way,NN,3
24973,it,PRP,2
24974,was,VBD,3
24975,in,IN,2
24976,Vienna.,NNP,7
24979,It,PRP,2
24980,was,VBD,3
24981,like,IN,4
24982,everything,NN,10
24983,in,IN,2
24984,Vienna.,NNP,7
24986,Brett,NNP,5
24987,smiled,VBD,6
24988,at,IN,2
24989,him,PRP,3
24990,again,RB,5
24993,You,PRP,3
24995,ve,VB,2
24996,a,DT,1
24997,nice,JJ,4
24998,friend,NN,6
25000,Jake.,NNP,5
25003,He,PRP,2
25005,s,PRP,1
25006,all,DT,3
25007,right,NN,5
25010,I,PRP,1
25011,said,VBD,4
25014,He,PRP,2
25016,s,PDT,1
25017,a,DT,1
25018,taxidermist.,NN,12
25021,That,DT,4
25022,was,VBD,3
25023,in,IN,2
25024,another,DT,7
25025,country,NN,7
25028,Bill,NNP,4
25029,said,VBD,4
25032,And,CC,3
25033,besides,IN,7
25034,all,PDT,3
25035,the,DT,3
25036,animals,NNS,7
25037,were,VBD,4
25038,dead.,JJ,5
25041,One,NNP,3
25042,more,JJR,4
25045,Brett,NNP,5
25046,said,VBD,4
25049,and,CC,3
25050,I,PRP,1
25051,must,MD,4
25052,run,VB,3
25054,Do,VB,2
25055,send,VB,4
25056,the,DT,3
25057,waiter,NN,6
25058,for,IN,3
25059,a,DT,1
25060,taxi.,NN,5
25063,There,EX,5
25065,s,VBD,1
25066,a,DT,1
25067,line,NN,4
25068,of,IN,2
25069,them,PRP,4
25071,Right,RB,5
25072,out,RP,3
25073,in,IN,2
25074,front.,JJ,6
25077,Good.,NNP,5
25079,We,PRP,2
25080,had,VBD,3
25081,the,DT,3
25082,drink,NN,5
25083,and,CC,3
25084,put,VB,3
25085,Brett,NNP,5
25086,into,IN,4
25087,her,PRP$,3
25088,taxi,NN,4
25091,Mind,NNP,4
25092,you,PRP,3
25094,re,VB,2
25095,at,IN,2
25096,the,DT,3
25097,Select,NNP,6
25098,around,IN,6
25099,ten,NN,3
25101,Make,NNP,4
25102,him,PRP,3
25103,come,VB,4
25105,Michael,NNP,7
25106,will,MD,4
25107,be,VB,2
25108,there.,JJ,6
25111,We,PRP,2
25113,ll,RB,2
25114,be,VB,2
25115,there,RB,5
25118,Bill,NNP,4
25119,said,VBD,4
25121,The,DT,3
25122,taxi,NN,4
25123,started,VBD,7
25124,and,CC,3
25125,Brett,NNP,5
25126,waved,VBD,5
25129,Quite,NNP,5
25130,a,DT,1
25131,girl,NN,4
25134,Bill,NNP,4
25135,said,VBD,4
25138,She,PRP,3
25140,s,NN,1
25141,damned,VBD,6
25142,nice,JJ,4
25144,Who,WP,3
25146,s,NN,1
25147,Michael,NNP,7
25151,The,DT,3
25152,man,NN,3
25153,she,PRP,3
25155,s,RB,1
25156,going,VBG,5
25157,to,TO,2
25158,marry.,VB,6
25161,Well,NNP,4
25163,well,RB,4
25166,Bill,NNP,4
25167,said,VBD,4
25170,That,IN,4
25172,s,VBD,1
25173,always,RB,6
25174,just,RB,4
25175,the,DT,3
25176,stage,NN,5
25177,I,PRP,1
25178,meet,VBP,4
25179,anybody,NN,7
25181,What,WP,4
25183,ll,NN,2
25184,I,PRP,1
25185,send,VBP,4
25186,them,PRP,4
25188,Think,VBP,5
25189,they,PRP,4
25191,d,VBP,1
25192,like,IN,4
25193,a,DT,1
25194,couple,NN,6
25195,of,IN,2
25196,stuffed,JJ,7
25197,race-horses,NNS,11
25201,We,PRP,2
25202,better,JJR,6
25203,eat.,NN,4
25206,Is,VBZ,2
25207,she,PRP,3
25208,really,RB,6
25209,Lady,JJ,4
25210,something,NN,9
25211,or,CC,2
25212,other,JJ,5
25215,Bill,NNP,4
25216,asked,VBD,5
25217,in,IN,2
25218,the,DT,3
25219,taxi,NN,4
25220,on,IN,2
25221,our,PRP$,3
25222,way,NN,3
25223,down,IN,4
25224,to,TO,2
25225,the,DT,3
25226,Ile,NNP,3
25227,Saint,NNP,5
25228,Louis,NNP,5
25231,Oh,UH,2
25233,yes,UH,3
25235,In,IN,2
25236,the,DT,3
25237,stud-book,NN,9
25238,and,CC,3
25239,everything.,NN,11
25242,Well,NNP,4
25244,well.,WP,5
25246,We,PRP,2
25247,ate,VBP,3
25248,dinner,NN,6
25249,at,IN,2
25250,Madame,NNP,6
25251,Lecomte,NNP,7
25253,s,NN,1
25254,restaurant,NN,10
25255,on,IN,2
25256,the,DT,3
25257,far,RB,3
25258,side,NN,4
25259,of,IN,2
25260,the,DT,3
25261,island,NN,6
25263,It,PRP,2
25264,was,VBD,3
25265,crowded,VBN,7
25266,with,IN,4
25267,Americans,NNPS,9
25268,and,CC,3
25269,we,PRP,2
25270,had,VBD,3
25271,to,TO,2
25272,stand,VB,5
25273,up,RP,2
25274,and,CC,3
25275,wait,VB,4
25276,for,IN,3
25277,a,DT,1
25278,place,NN,5
25280,Some,DT,4
25281,one,CD,3
25282,had,VBD,3
25283,put,VBN,3
25284,it,PRP,2
25285,in,IN,2
25286,the,DT,3
25287,American,JJ,8
25288,Women,NNP,5
25290,s,VBD,1
25291,Club,NNP,4
25292,list,NN,4
25293,as,IN,2
25294,a,DT,1
25295,quaint,NN,6
25296,restaurant,NN,10
25297,on,IN,2
25298,the,DT,3
25299,Paris,NNP,5
25300,quais,NN,5
25301,as,IN,2
25302,yet,RB,3
25303,untouched,VBN,9
25304,by,IN,2
25305,Americans,NNPS,9
25307,so,IN,2
25308,we,PRP,2
25309,had,VBD,3
25310,to,TO,2
25311,wait,VB,4
25312,forty-five,JJ,10
25313,minutes,NNS,7
25314,for,IN,3
25315,a,DT,1
25316,table,NN,5
25318,Bill,NNP,4
25319,had,VBD,3
25320,eaten,VBN,5
25321,at,IN,2
25322,the,DT,3
25323,restaurant,NN,10
25324,in,IN,2
25327,and,CC,3
25328,right,RB,5
25329,after,IN,5
25330,the,DT,3
25331,armistice,NN,9
25333,and,CC,3
25334,Madame,NNP,6
25335,Lecomte,NNP,7
25336,made,VBD,4
25337,a,DT,1
25338,great,JJ,5
25339,fuss,NN,4
25340,over,IN,4
25341,seeing,VBG,6
25342,him,PRP,3
25345,Doesn,NNP,5
25347,t,NN,1
25348,get,VBP,3
25349,us,PRP,2
25350,a,DT,1
25351,table,NN,5
25353,though,RB,6
25356,Bill,NNP,4
25357,said,VBD,4
25360,Grand,NNP,5
25361,woman,NN,5
25363,though.,JJ,7
25365,We,PRP,2
25366,had,VBD,3
25367,a,DT,1
25368,good,JJ,4
25369,meal,NN,4
25371,a,DT,1
25372,roast,NN,5
25373,chicken,NN,7
25375,new,JJ,3
25376,green,JJ,5
25377,beans,NNS,5
25379,mashed,VBD,6
25380,potatoes,NNS,8
25382,a,DT,1
25383,salad,NN,5
25385,and,CC,3
25386,some,DT,4
25387,apple-pie,JJ,9
25388,and,CC,3
25389,cheese,JJ,6
25392,You,PRP,3
25394,ve,JJ,2
25395,got,VBD,3
25396,the,DT,3
25397,world,NN,5
25398,here,RB,4
25399,all,DT,3
25400,right,NN,5
25403,Bill,NNP,4
25404,said,VBD,4
25405,to,TO,2
25406,Madame,NNP,6
25407,Lecomte,NNP,7
25409,She,PRP,3
25410,raised,VBD,6
25411,her,PRP$,3
25412,hand,NN,4
25415,Oh,UH,2
25417,my,PRP$,2
25418,God,NNP,3
25422,You,PRP,3
25424,ll,JJ,2
25425,be,VB,2
25426,rich.,JJ,5
25429,I,PRP,1
25430,hope,VBP,4
25431,so.,JJ,3
25433,After,IN,5
25434,the,DT,3
25435,coffee,NN,6
25436,and,CC,3
25437,a,DT,1
25438,_fine_,NN,6
25439,we,PRP,2
25440,got,VBD,3
25441,the,DT,3
25442,bill,NN,4
25444,chalked,VBD,7
25445,up,RP,2
25446,the,DT,3
25447,same,JJ,4
25448,as,IN,2
25449,ever,RB,4
25450,on,IN,2
25451,a,DT,1
25452,slate,NN,5
25454,that,WDT,4
25455,was,VBD,3
25456,doubtless,JJ,9
25457,one,CD,3
25458,of,IN,2
25459,the,DT,3
25461,quaint,NN,6
25463,features,NNS,8
25465,paid,VBD,4
25466,it,PRP,2
25468,shook,VBD,5
25469,hands,NNS,5
25471,and,CC,3
25472,went,VBD,4
25473,out,RP,3
25476,You,PRP,3
25477,never,RB,5
25478,come,VBP,4
25479,here,RB,4
25480,any,DT,3
25481,more,JJR,4
25483,Monsieur,NNP,8
25484,Barnes,NNP,6
25487,Madame,NNP,6
25488,Lecomte,NNP,7
25489,said,VBD,4
25492,Too,NNP,3
25493,many,JJ,4
25494,compatriots.,VBP,12
25497,Come,NNP,4
25498,at,IN,2
25499,lunch-time,JJ,10
25501,It,PRP,2
25503,s,PRP,1
25504,not,RB,3
25505,crowded,VBD,7
25506,then.,JJ,5
25509,Good,NNP,4
25511,I,PRP,1
25513,ll,RB,2
25514,be,VB,2
25515,down,RP,4
25516,soon.,JJ,5
25518,We,PRP,2
25519,walked,VBD,6
25520,along,RB,5
25521,under,IN,5
25522,the,DT,3
25523,trees,NNS,5
25524,that,WDT,4
25525,grew,VBD,4
25526,out,RP,3
25527,over,IN,4
25528,the,DT,3
25529,river,NN,5
25530,on,IN,2
25531,the,DT,3
25532,Quai,NNP,4
25533,d,NN,1
25535,Orléans,NNP,7
25536,side,NN,4
25537,of,IN,2
25538,the,DT,3
25539,island,NN,6
25541,Across,IN,6
25542,the,DT,3
25543,river,NN,5
25544,were,VBD,4
25545,the,DT,3
25546,broken,JJ,6
25547,walls,NNS,5
25548,of,IN,2
25549,old,JJ,3
25550,houses,NNS,6
25551,that,WDT,4
25552,were,VBD,4
25553,being,VBG,5
25554,torn,VBN,4
25555,down,RP,4
25558,They,PRP,4
25560,re,VB,2
25561,going,VBG,5
25562,to,TO,2
25563,cut,VB,3
25564,a,DT,1
25565,street,NN,6
25566,through.,JJ,8
25569,They,PRP,4
25570,would,MD,5
25573,Bill,NNP,4
25574,said,VBD,4
25576,We,PRP,2
25577,walked,VBD,6
25578,on,IN,2
25579,and,CC,3
25580,circled,VBD,7
25581,the,DT,3
25582,island,NN,6
25584,The,DT,3
25585,river,NN,5
25586,was,VBD,3
25587,dark,JJ,4
25588,and,CC,3
25589,a,DT,1
25590,bateau,NN,6
25591,mouche,NN,6
25592,went,VBD,4
25593,by,IN,2
25595,all,DT,3
25596,bright,JJ,6
25597,with,IN,4
25598,lights,NNS,6
25600,going,VBG,5
25601,fast,RB,4
25602,and,CC,3
25603,quiet,VB,5
25604,up,RB,2
25605,and,CC,3
25606,out,IN,3
25607,of,IN,2
25608,sight,NN,5
25609,under,IN,5
25610,the,DT,3
25611,bridge,NN,6
25613,Down,IN,4
25614,the,DT,3
25615,river,NN,5
25616,was,VBD,3
25617,Notre,NNP,5
25618,Dame,NNP,4
25619,squatting,VBG,9
25620,against,IN,7
25621,the,DT,3
25622,night,NN,5
25623,sky,NN,3
25625,We,PRP,2
25626,crossed,VBD,7
25627,to,TO,2
25628,the,DT,3
25629,left,JJ,4
25630,bank,NN,4
25631,of,IN,2
25632,the,DT,3
25633,Seine,NNP,5
25634,by,IN,2
25635,the,DT,3
25636,wooden,JJ,6
25637,foot-bridge,NN,11
25638,from,IN,4
25639,the,DT,3
25640,Quai,NNP,4
25641,de,FW,2
25642,Bethune,NNP,7
25644,and,CC,3
25645,stopped,VBD,7
25646,on,IN,2
25647,the,DT,3
25648,bridge,NN,6
25649,and,CC,3
25650,looked,VBD,6
25651,down,IN,4
25652,the,DT,3
25653,river,NN,5
25654,at,IN,2
25655,Notre,NNP,5
25656,Dame,NNP,4
25658,Standing,VBG,8
25659,on,IN,2
25660,the,DT,3
25661,bridge,NN,6
25662,the,DT,3
25663,island,NN,6
25664,looked,VBD,6
25665,dark,NN,4
25667,the,DT,3
25668,houses,NNS,6
25669,were,VBD,4
25670,high,JJ,4
25671,against,IN,7
25672,the,DT,3
25673,sky,NN,3
25675,and,CC,3
25676,the,DT,3
25677,trees,NNS,5
25678,were,VBD,4
25679,shadows,NNS,7
25682,It,PRP,2
25684,s,VBD,1
25685,pretty,RB,6
25686,grand,JJ,5
25689,Bill,NNP,4
25690,said,VBD,4
25693,God,NNP,3
25695,I,PRP,1
25696,love,VBP,4
25697,to,TO,2
25698,get,VB,3
25699,back.,JJ,5
25701,We,PRP,2
25702,leaned,VBD,6
25703,on,IN,2
25704,the,DT,3
25705,wooden,JJ,6
25706,rail,NN,4
25707,of,IN,2
25708,the,DT,3
25709,bridge,NN,6
25710,and,CC,3
25711,looked,VBD,6
25712,up,RP,2
25713,the,DT,3
25714,river,NN,5
25715,to,TO,2
25716,the,DT,3
25717,lights,NNS,6
25718,of,IN,2
25719,the,DT,3
25720,big,JJ,3
25721,bridges,NNS,7
25723,Below,IN,5
25724,the,DT,3
25725,water,NN,5
25726,was,VBD,3
25727,smooth,JJ,6
25728,and,CC,3
25729,black,JJ,5
25731,It,PRP,2
25732,made,VBD,4
25733,no,DT,2
25734,sound,NN,5
25735,against,IN,7
25736,the,DT,3
25737,piles,NNS,5
25738,of,IN,2
25739,the,DT,3
25740,bridge,NN,6
25742,A,DT,1
25743,man,NN,3
25744,and,CC,3
25745,a,DT,1
25746,girl,NN,4
25747,passed,VBD,6
25748,us,PRP,2
25750,They,PRP,4
25751,were,VBD,4
25752,walking,VBG,7
25753,with,IN,4
25754,their,PRP$,5
25755,arms,NNS,4
25756,around,IN,6
25757,each,DT,4
25758,other,JJ,5
25760,We,PRP,2
25761,crossed,VBD,7
25762,the,DT,3
25763,bridge,NN,6
25764,and,CC,3
25765,walked,VBD,6
25766,up,RP,2
25767,the,DT,3
25768,Rue,NNP,3
25769,du,NNP,2
25770,Cardinal,NNP,8
25771,Lemoine,NNP,7
25773,It,PRP,2
25774,was,VBD,3
25775,steep,JJ,5
25776,walking,NN,7
25778,and,CC,3
25779,we,PRP,2
25780,went,VBD,4
25781,all,PDT,3
25782,the,DT,3
25783,way,NN,3
25784,up,IN,2
25785,to,TO,2
25786,the,DT,3
25787,Place,NNP,5
25788,Contrescarpe,NNP,12
25790,The,DT,3
25791,arc-light,JJ,9
25792,shone,NN,5
25793,through,IN,7
25794,the,DT,3
25795,leaves,NNS,6
25796,of,IN,2
25797,the,DT,3
25798,trees,NNS,5
25799,in,IN,2
25800,the,DT,3
25801,square,NN,6
25803,and,CC,3
25804,underneath,IN,10
25805,the,DT,3
25806,trees,NNS,5
25807,was,VBD,3
25808,an,DT,2
25809,S,NNP,1
25810,bus,NN,3
25811,ready,NN,5
25812,to,TO,2
25813,start,VB,5
25815,Music,NNP,5
25816,came,VBD,4
25817,out,IN,3
25818,of,IN,2
25819,the,DT,3
25820,door,NN,4
25821,of,IN,2
25822,the,DT,3
25823,Negre,NNP,5
25824,Joyeux,NNP,6
25826,Through,IN,7
25827,the,DT,3
25828,window,NN,6
25829,of,IN,2
25830,the,DT,3
25831,Café,NNP,4
25832,Aux,NNP,3
25833,Amateurs,NNP,8
25834,I,PRP,1
25835,saw,VBD,3
25836,the,DT,3
25837,long,JJ,4
25838,zinc,NN,4
25839,bar,NN,3
25841,Outside,IN,7
25842,on,IN,2
25843,the,DT,3
25844,terrace,NN,7
25845,working,VBG,7
25846,people,NNS,6
25847,were,VBD,4
25848,drinking,VBG,8
25850,In,IN,2
25851,the,DT,3
25852,open,JJ,4
25853,kitchen,NN,7
25854,of,IN,2
25855,the,DT,3
25856,Amateurs,NNP,8
25857,a,DT,1
25858,girl,NN,4
25859,was,VBD,3
25860,cooking,VBG,7
25861,potato-chips,NNS,12
25862,in,IN,2
25863,oil,NN,3
25865,There,EX,5
25866,was,VBD,3
25867,an,DT,2
25868,iron,NN,4
25869,pot,NN,3
25870,of,IN,2
25871,stew,NN,4
25873,The,DT,3
25874,girl,NN,4
25875,ladled,VBD,6
25876,some,DT,4
25877,onto,IN,4
25878,a,DT,1
25879,plate,NN,5
25880,for,IN,3
25881,an,DT,2
25882,old,JJ,3
25883,man,NN,3
25884,who,WP,3
25885,stood,VBD,5
25886,holding,VBG,7
25887,a,DT,1
25888,bottle,NN,6
25889,of,IN,2
25890,red,JJ,3
25891,wine,NN,4
25892,in,IN,2
25893,one,CD,3
25894,hand,NN,4
25897,Want,VBP,4
25898,to,TO,2
25899,have,VB,4
25900,a,DT,1
25901,drink,NN,5
25905,No,NNP,2
25908,said,VBD,4
25909,Bill,NNP,4
25912,I,PRP,1
25913,don,VBP,3
25915,t,NNS,1
25916,need,VBP,4
25917,it.,JJ,3
25919,We,PRP,2
25920,turned,VBD,6
25921,to,TO,2
25922,the,DT,3
25923,right,NN,5
25924,off,IN,3
25925,the,DT,3
25926,Place,NNP,5
25927,Contrescarpe,NNP,12
25929,walking,VBG,7
25930,along,RP,5
25931,smooth,JJ,6
25932,narrow,JJ,6
25933,streets,NNS,7
25934,with,IN,4
25935,high,JJ,4
25936,old,JJ,3
25937,houses,NNS,6
25938,on,IN,2
25939,both,DT,4
25940,sides,NNS,5
25942,Some,DT,4
25943,of,IN,2
25944,the,DT,3
25945,houses,NNS,6
25946,jutted,VBD,6
25947,out,RP,3
25948,toward,IN,6
25949,the,DT,3
25950,street,NN,6
25952,Others,NNS,6
25953,were,VBD,4
25954,cut,VBN,3
25955,back,RB,4
25957,We,PRP,2
25958,came,VBD,4
25959,onto,IN,4
25960,the,DT,3
25961,Rue,NNP,3
25962,du,NN,2
25963,Pot,NNP,3
25964,de,FW,2
25965,Fer,NNP,3
25966,and,CC,3
25967,followed,VBD,8
25968,it,PRP,2
25969,along,IN,5
25970,until,IN,5
25971,it,PRP,2
25972,brought,VBD,7
25973,us,PRP,2
25974,to,TO,2
25975,the,DT,3
25976,rigid,JJ,5
25977,north,NN,5
25978,and,CC,3
25979,south,NN,5
25980,of,IN,2
25981,the,DT,3
25982,Rue,NNP,3
25983,Saint,NNP,5
25984,Jacques,NNP,7
25985,and,CC,3
25986,then,RB,4
25987,walked,VBD,6
25988,south,RB,5
25990,past,JJ,4
25991,Val,NNP,3
25992,de,FW,2
25993,Grâce,NNP,5
25995,set,VBN,3
25996,back,RP,4
25997,behind,IN,6
25998,the,DT,3
25999,courtyard,NN,9
26000,and,CC,3
26001,the,DT,3
26002,iron,NN,4
26003,fence,NN,5
26005,to,TO,2
26006,the,DT,3
26007,Boulevard,NNP,9
26008,du,NN,2
26009,Port,NNP,4
26010,Royal,NNP,5
26013,What,WP,4
26014,do,VBP,2
26015,you,PRP,3
26016,want,VB,4
26017,to,TO,2
26018,do,VB,2
26021,I,PRP,1
26022,asked,VBN,5
26025,Go,NNP,2
26026,up,RB,2
26027,to,TO,2
26028,the,DT,3
26029,café,NN,4
26030,and,CC,3
26031,see,VB,3
26032,Brett,NNP,5
26033,and,CC,3
26034,Mike,NNP,4
26038,Why,WRB,3
26039,not,RB,3
26042,We,PRP,2
26043,walked,VBD,6
26044,along,RB,5
26045,Port,NNP,4
26046,Royal,NNP,5
26047,until,IN,5
26048,it,PRP,2
26049,became,VBD,6
26050,Montparnasse,NNP,12
26052,and,CC,3
26053,then,RB,4
26054,on,IN,2
26055,past,IN,4
26056,the,DT,3
26057,Lilas,NNP,5
26059,Lavigne,NNP,7
26061,s,NN,1
26063,and,CC,3
26064,all,PDT,3
26065,the,DT,3
26066,little,JJ,6
26067,cafés,NN,5
26069,Damoy,NNP,5
26071,s,NN,1
26073,crossed,VBD,7
26074,the,DT,3
26075,street,NN,6
26076,to,TO,2
26077,the,DT,3
26078,Rotonde,NNP,7
26080,past,VBD,4
26081,its,PRP$,3
26082,lights,NNS,6
26083,and,CC,3
26084,tables,NNS,6
26085,to,TO,2
26086,the,DT,3
26087,Select,NNP,6
26089,Michael,NNP,7
26090,came,VBD,4
26091,toward,IN,6
26092,us,PRP,2
26093,from,IN,4
26094,the,DT,3
26095,tables,NNS,6
26097,He,PRP,2
26098,was,VBD,3
26099,tanned,VBN,6
26100,and,CC,3
26101,healthy-looking,JJ,15
26104,Hel-lo,NNP,6
26106,Jake,NNP,4
26109,he,PRP,2
26110,said,VBD,4
26113,Hel-lo,JJ,6
26115,Hel-lo,NN,6
26117,How,WRB,3
26118,are,VBP,3
26119,you,PRP,3
26121,old,JJ,3
26122,lad,NN,3
26126,You,PRP,3
26127,look,VBP,4
26128,very,RB,4
26129,fit,JJ,3
26131,Mike.,NNP,5
26134,Oh,NNP,2
26136,I,PRP,1
26137,am,VBP,2
26139,I,PRP,1
26141,m,JJ,1
26142,frightfully,RB,11
26143,fit,VBP,3
26145,I,PRP,1
26147,ve,JJ,2
26148,done,VBN,4
26149,nothing,NN,7
26150,but,CC,3
26151,walk,NN,4
26153,Walk,VB,4
26154,all,DT,3
26155,day,NN,3
26156,long,RB,4
26158,One,CD,3
26159,drink,NN,5
26160,a,DT,1
26161,day,NN,3
26162,with,IN,4
26163,my,PRP$,2
26164,mother,NN,6
26165,at,IN,2
26166,tea.,NN,4
26168,Bill,NNP,4
26169,had,VBD,3
26170,gone,VBN,4
26171,into,IN,4
26172,the,DT,3
26173,bar,NN,3
26175,He,PRP,2
26176,was,VBD,3
26177,standing,VBG,8
26178,talking,VBG,7
26179,with,IN,4
26180,Brett,NNP,5
26182,who,WP,3
26183,was,VBD,3
26184,sitting,VBG,7
26185,on,IN,2
26186,a,DT,1
26187,high,JJ,4
26188,stool,NN,5
26190,her,PRP$,3
26191,legs,NNS,4
26192,crossed,VBN,7
26194,She,PRP,3
26195,had,VBD,3
26196,no,DT,2
26197,stockings,NNS,9
26198,on,IN,2
26201,It,PRP,2
26203,s,RB,1
26204,good,JJ,4
26205,to,TO,2
26206,see,VB,3
26207,you,PRP,3
26209,Jake,NNP,4
26212,Michael,NNP,7
26213,said,VBD,4
26216,I,PRP,1
26218,m,VB,1
26219,a,DT,1
26220,little,JJ,6
26221,tight,JJ,5
26222,you,PRP,3
26223,know,VBP,4
26225,Amazing,NNP,7
26227,isn,NN,3
26229,t,NN,1
26230,it,PRP,2
26232,Did,NNP,3
26233,you,PRP,3
26234,see,VBP,3
26235,my,PRP$,2
26236,nose,JJ,4
26239,There,EX,5
26240,was,VBD,3
26241,a,DT,1
26242,patch,NN,5
26243,of,IN,2
26244,dried,JJ,5
26245,blood,NN,5
26246,on,IN,2
26247,the,DT,3
26248,bridge,NN,6
26249,of,IN,2
26250,his,PRP$,3
26251,nose,NN,4
26254,An,DT,2
26255,old,JJ,3
26256,lady,NN,4
26258,s,NN,1
26259,bags,NNS,4
26260,did,VBD,3
26261,that,IN,4
26264,Mike,NNP,4
26265,said,VBD,4
26268,I,PRP,1
26269,reached,VBD,7
26270,up,RB,2
26271,to,TO,2
26272,help,VB,4
26273,her,PRP$,3
26274,with,IN,4
26275,them,PRP,4
26276,and,CC,3
26277,they,PRP,4
26278,fell,VBD,4
26279,on,IN,2
26280,me.,NN,3
26282,Brett,NNP,5
26283,gestured,VBD,8
26284,at,IN,2
26285,him,PRP,3
26286,from,IN,4
26287,the,DT,3
26288,bar,NN,3
26289,with,IN,4
26290,her,PRP$,3
26291,cigarette-holder,NN,16
26292,and,CC,3
26293,wrinkled,VBD,8
26294,the,DT,3
26295,corners,NNS,7
26296,of,IN,2
26297,her,PRP$,3
26298,eyes,NNS,4
26301,An,DT,2
26302,old,JJ,3
26303,lady,NN,4
26306,said,VBD,4
26307,Mike,NNP,4
26310,Her,PRP$,3
26311,bags,NNS,4
26312,_fell_,VBP,6
26313,on,IN,2
26314,me,PRP,2
26316,Let,VB,3
26318,s,VB,1
26319,go,VB,2
26320,in,IN,2
26321,and,CC,3
26322,see,VB,3
26323,Brett,NNP,5
26325,I,PRP,1
26326,say,VBP,3
26328,she,PRP,3
26329,is,VBZ,2
26330,a,DT,1
26331,piece,NN,5
26333,You,PRP,3
26334,_are_,VBP,5
26335,a,DT,1
26336,lovely,JJ,6
26337,lady,NN,4
26339,Brett,NNP,5
26341,Where,WRB,5
26342,did,VBD,3
26343,you,PRP,3
26344,get,VB,3
26345,that,IN,4
26346,hat,DT,3
26350,Chap,NNP,4
26351,bought,VBD,6
26352,it,PRP,2
26353,for,IN,3
26354,me,PRP,2
26356,Don,NNP,3
26358,t,NN,1
26359,you,PRP,3
26360,like,IN,4
26361,it,PRP,2
26365,It,PRP,2
26367,s,VBD,1
26368,a,DT,1
26369,dreadful,JJ,8
26370,hat,NN,3
26372,Do,VB,2
26373,get,VB,3
26374,a,DT,1
26375,good,JJ,4
26376,hat.,NN,4
26379,Oh,NNP,2
26381,we,PRP,2
26383,ve,RB,2
26384,so,RB,2
26385,much,JJ,4
26386,money,NN,5
26387,now,RB,3
26390,Brett,NNP,5
26391,said,VBD,4
26394,I,PRP,1
26395,say,VBP,3
26397,haven,JJ,5
26399,t,NN,1
26400,you,PRP,3
26401,met,VBD,3
26402,Bill,NNP,4
26403,yet,RB,3
26405,You,PRP,3
26406,_are_,VBP,5
26407,a,DT,1
26408,lovely,RB,6
26409,host,NN,4
26411,Jake.,NNP,5
26413,She,PRP,3
26414,turned,VBD,6
26415,to,TO,2
26416,Mike,NNP,4
26419,This,DT,4
26420,is,VBZ,2
26421,Bill,NNP,4
26422,Gorton,NNP,6
26424,This,DT,4
26425,drunkard,NN,8
26426,is,VBZ,2
26427,Mike,NNP,4
26428,Campbell,NNP,8
26430,Mr.,NNP,3
26431,Campbell,NNP,8
26432,is,VBZ,2
26433,an,DT,2
26434,undischarged,JJ,12
26435,bankrupt.,NN,9
26438,Aren,NNP,4
26440,t,NN,1
26441,I,PRP,1
26443,though,RB,6
26445,You,PRP,3
26446,know,VBP,4
