,token_str,pos,n
302,he,PRP,2
303,had,VBD,3
305,maybe,RB,5
307,bumped,VBD,6
308,into,IN,4
309,something,NN,9
310,as,IN,2
311,a,DT,1
312,young,JJ,5
313,child,NN,5
315,but,CC,3
316,I,PRP,1
317,finally,RB,7
318,had,VBD,3
319,somebody,NN,8
320,verify,VB,6
321,the,DT,3
322,story,NN,5
323,from,IN,4
324,Spider,NNP,6
325,Kelly,NNP,5
327,Spider,NNP,6
328,Kelly,NNP,5
329,not,RB,3
330,only,RB,4
331,remembered,JJ,10
332,Cohn,NNP,4
334,He,PRP,2
335,had,VBD,3
336,often,RB,5
337,wondered,VBN,8
338,what,WP,4
339,had,VBD,3
340,become,VBN,6
341,of,IN,2
342,him,PRP,3
344,Robert,NNP,6
345,Cohn,NNP,4
346,was,VBD,3
347,a,DT,1
348,member,NN,6
350,through,IN,7
351,his,PRP$,3
352,father,NN,6
354,of,IN,2
355,one,CD,3
356,of,IN,2
357,the,DT,3
358,richest,JJS,7
359,Jewish,JJ,6
360,families,NNS,8
361,in,IN,2
362,New,NNP,3
363,York,NNP,4
365,and,CC,3
366,through,IN,7
367,his,PRP$,3
368,mother,NN,6
369,of,IN,2
370,one,CD,3
371,of,IN,2
372,the,DT,3
373,oldest,JJS,6
375,At,IN,2
376,the,DT,3
377,military,JJ,8
378,school,NN,6
379,where,WRB,5
380,he,PRP,2
381,prepped,VBD,7
382,for,IN,3
383,Princeton,NNP,9
385,and,CC,3
386,played,VBD,6
387,a,DT,1
388,very,RB,4
389,good,JJ,4
390,end,NN,3
391,on,IN,2
392,the,DT,3
393,football,NN,8
394,team,NN,4
396,no,DT,2
397,one,NN,3
398,had,VBD,3
399,made,VBN,4
400,him,PRP,3
401,race-conscious,JJ,14
403,No,DT,2
404,one,NN,3
405,had,VBD,3
406,ever,RB,4
407,made,VBN,4
408,him,PRP,3
409,feel,VB,4
410,he,PRP,2
411,was,VBD,3
412,a,DT,1
413,Jew,NNP,3
415,and,CC,3
416,hence,RB,5
417,any,DT,3
418,different,JJ,9
419,from,IN,4
420,anybody,NN,7
421,else,RB,4
423,until,IN,5
424,he,PRP,2
425,went,VBD,4
426,to,TO,2
427,Princeton,NNP,9
429,He,PRP,2
430,was,VBD,3
431,a,DT,1
432,nice,JJ,4
433,boy,NN,3
435,a,DT,1
436,friendly,JJ,8
437,boy,NN,3
439,and,CC,3
440,very,RB,4
441,shy,JJ,3
443,and,CC,3
444,it,PRP,2
445,made,VBD,4
446,him,PRP,3
447,bitter,NN,6
449,He,PRP,2
450,took,VBD,4
451,it,PRP,2
452,out,RP,3
453,in,IN,2
454,boxing,NN,6
456,and,CC,3
457,he,PRP,2
458,came,VBD,4
459,out,IN,3
460,of,IN,2
461,Princeton,NNP,9
462,with,IN,4
463,painful,JJ,7
464,self-consciousness,JJ,18
465,and,CC,3
466,the,DT,3
467,flattened,VBN,9
468,nose,NN,4
470,and,CC,3
471,was,VBD,3
472,married,VBN,7
473,by,IN,2
474,the,DT,3
475,first,JJ,5
476,girl,NN,4
477,who,WP,3
478,was,VBD,3
479,nice,JJ,4
480,to,TO,2
481,him,PRP,3
483,He,PRP,2
484,was,VBD,3
485,married,VBN,7
486,five,CD,4
487,years,NNS,5
489,had,VBD,3
490,three,CD,5
491,children,NNS,8
493,lost,VBD,4
494,most,JJS,4
495,of,IN,2
496,the,DT,3
497,fifty,JJ,5
498,thousand,CD,8
499,dollars,NNS,7
500,his,PRP$,3
501,father,NN,6
502,left,VBD,4
503,him,PRP,3
505,the,DT,3
506,balance,NN,7
507,of,IN,2
508,the,DT,3
509,estate,NN,6
510,having,VBG,6
511,gone,VBN,4
512,to,TO,2
513,his,PRP$,3
514,mother,NN,6
516,hardened,VBN,8
517,into,IN,4
518,a,DT,1
519,rather,RB,6
520,unattractive,JJ,12
521,mould,NN,5
522,under,IN,5
523,domestic,JJ,8
524,unhappiness,NN,11
525,with,IN,4
526,a,DT,1
527,rich,JJ,4
528,wife,NN,4
530,and,CC,3
531,just,RB,4
532,when,WRB,4
533,he,PRP,2
534,had,VBD,3
535,made,VBN,4
536,up,RP,2
537,his,PRP$,3
538,mind,NN,4
539,to,TO,2
540,leave,VB,5
541,his,PRP$,3
542,wife,NN,4
543,she,PRP,3
544,left,VBD,4
545,him,PRP,3
546,and,CC,3
547,went,VBD,4
548,off,RP,3
549,with,IN,4
550,a,DT,1
551,miniature-painter,NN,17
553,As,IN,2
554,he,PRP,2
555,had,VBD,3
556,been,VBN,4
557,thinking,VBG,8
